Image;BEST g PSNR;BEST PSNR;SSIM (P);Iteraciones (P);log_grad (P);theta (P);BEST g SSIM;BEST SSIM;PSNR (S);Iteraciones (S);log_grad (S);theta (S)
kodim1;0,04;25,326139295658123;0,7996582009082395;2073,0;9,104285635946292;0,465614035825018;0,04;0,7996582009082395;25,326139295658123;2073,0;9,104285635946292;0,465614035825018
kodim2;0,075;31,855578439145333;0,9178873673220832;1102,0;8,416472142850397;0,5509859241592193;0,095;0,9182914394046529;31,83781940406456;1106,0;8,38844934509008;0,5424743275135311
kodim3;0,09;32,81779444273188;0,9451994817197272;1196,0;8,48107624489381;0,5007213881257168;0,13;0,94576301160639;32,776545690126724;1223,0;8,450807778785334;0,4755198853750581
kodim4;0,07;31,09982454813807;0,9199428338228252;1277,0;8,647938915986428;0,5206113476975949;0,095;0,9204627820520908;31,07931212629627;1277,0;8,617561144518454;0,5018022080063292
kodim5;0,035;24,76885392024933;0,8559146206088456;2471,0;9,420662677899292;0,4503799115044715;0,04;0,8561183648111125;24,76456149607949;2466,0;9,407336437445078;0,4397385768441025
kodim6;0,045;27,16509796309909;0,8442878670367895;1534,0;8,85548887603447;0,4932142055115188;0,055;0,8445726437591201;27,15473221536736;1520,0;8,830157244019803;0,4799010814828745
kodim7;0,045;30,07282954093817;0,937752881855942;1994,0;9,079108440081088;0,4858289193223066;0,06;0,9388675091259758;30,031541553895572;2015,0;9,04462507458827;0,4685371935142246
kodim8;0,03;23,085750395646908;0,841388359714947;3216,0;9,629529578662904;0,4520712852199446;0,04;0,8421960496397664;23,064175117219552;3225,0;9,605180524549786;0,4307162146998946
kodim9;0,045;29,71693775751441;0,9284150560792308;1689,0;8,849856635118268;0,5225889585549024;0,085;0,9323290140478212;29,592836142699387;1678,0;8,777854170470722;0,488783158025408
kodim10;0,06;30,26912239499301;0,927012427911389;1440,0;8,720921876513176;0,4951153181402725;0,085;0,927941315770482;30,22665014931785;1445,0;8,683733350703228;0,4702865481572293
kodim11;0,05;28,267435491881688;0,889971919336675;1662,0;8,879223602635667;0,5034456963965391;0,07;0,8910931647001878;28,243352307261084;1652,0;8,842871494747348;0,4855117903156003
kodim12;0,06;31,473803582301343;0,9322652886697216;1422,0;8,729019137879018;0,5279136788634419;0,11;0,9345541683347394;31,382043830639624;1479,0;8,677178236680058;0,4933278603266394
kodim13;0,035;23,91246442826307;0,7931951811232879;2210,0;9,238605501297029;0,4487857708064722;0,035;0,7931951811232879;23,91246442826307;2210,0;9,238605501297029;0,4487857708064722
kodim14;0,045;27,41079835132359;0,8793398632329298;1829,0;9,055278034891131;0,4712919443582617;0,055;0,879844034410383;27,400895963178165;1816,0;9,032483101449047;0,4543441753756834
kodim15;0,07;30,40947389960857;0,9369956238070004;1716,0;8,948630989230686;0,52219460678307;0,105;0,9379718200742476;30,36829755596681;1789,0;8,925468589659879;0,5014944471452857
kodim16;0,075;30,85799323490884;0,8976361307354696;1069,0;8,35101585548665;0,4759554066181146;0,08;0,8976838835315645;30,857350647727383;1068,0;8,342450176242332;0,4707192677471153
kodim17;0,065;30,176176841318583;0,9309205752566392;1516,0;8,79675205551877;0,4532702252323287;0,085;0,9314683611495286;30,15234065676072;1524,0;8,771150173567788;0,428817211455569
kodim18;0,04;26,83908707917021;0,8645808259179889;1926,0;8,992842696341329;0,49174022349422;0,055;0,8656138124932196;26,820684022726823;1901,0;8,95100392747844;0,4717948831189223
kodim19;0,04;26,66757037389109;0,8692970369225074;2029,0;9,000225108526438;0,5117454140212213;0,07;0,8726271479663903;26,591816457956607;2033,0;8,937910532112102;0,4698492996564112
kodim20;0,055;30,42231311680499;0,9430095580008878;2041,0;8,933211088807655;0,5257661930488666;0,085;0,944076168664564;30,37357493302704;2133,0;8,905007847790483;0,5086822406554296
kodim21;0,045;27,39938624871945;0,8992591843228417;1861,0;8,998521818910143;0,4926404445733278;0,07;0,9010333852931508;27,354866706380868;1873,0;8,952300802434273;0,4675374501608003
kodim22;0,055;28,907839535244896;0,8866619171600062;1588,0;8,696984374670384;0,5090779544698317;0,07;0,8870920619079846;28,893002228524253;1576,0;8,6668156944894;0,4956759187953028
kodim23;0,065;31,391845519656627;0,9553835350089188;1395,0;8,650394101554976;0,5334473394924834;0,145;0,9584302703144818;31,23750615727928;1382,0;8,57679835860979;0,4878908430455508
kodim24;0,05;26,389349619861555;0,8751696140762855;2163,0;9,03789844708917;0,466092882291423;0,06;0,87549633483138;26,379809170303933;2154,0;9,020263756447177;0,4522143560009172
;0,05354166666666666;28,612644417544534;0,8946310562729658;1767,4583333333333;8,896414326534382;0,49460412810460697;0,07583333333333334;0,8956825052466982;28,575929927363358;1775,75;8,864595787463424;0,47500078100205706
