Image;PSNR final (gamma = 20.0);SSIM final (gamma = 20.0);No. Iter. (gamma = 20.0);mse final (gamma = 20.0);log_grad (gamma = 20.0);theta (gamma = 20.0);PSNR max (gamma = 20.0);SSIM (k) (gamma = 20.0);No. Iter. (k) (gamma = 20.0);mse final (k) (gamma = 20.0);log_grad (k) (gamma = 20.0);theta (k) (gamma = 20.0);PSNR final (gamma = 25.0);SSIM final (gamma = 25.0);No. Iter. (gamma = 25.0);mse final (gamma = 25.0);log_grad (gamma = 25.0);theta (gamma = 25.0);PSNR max (gamma = 25.0);SSIM (k) (gamma = 25.0);No. Iter. (k) (gamma = 25.0);mse final (k) (gamma = 25.0);log_grad (k) (gamma = 25.0);theta (k) (gamma = 25.0);PSNR final (gamma = 30.0);SSIM final (gamma = 30.0);No. Iter. (gamma = 30.0);mse final (gamma = 30.0);log_grad (gamma = 30.0);theta (gamma = 30.0);PSNR max (gamma = 30.0);SSIM (k) (gamma = 30.0);No. Iter. (k) (gamma = 30.0);mse final (k) (gamma = 30.0);log_grad (k) (gamma = 30.0);theta (k) (gamma = 30.0);PSNR final (gamma = 35.0);SSIM final (gamma = 35.0);No. Iter. (gamma = 35.0);mse final (gamma = 35.0);log_grad (gamma = 35.0);theta (gamma = 35.0);PSNR max (gamma = 35.0);SSIM (k) (gamma = 35.0);No. Iter. (k) (gamma = 35.0);mse final (k) (gamma = 35.0);log_grad (k) (gamma = 35.0);theta (k) (gamma = 35.0);PSNR final (gamma = 40.0);SSIM final (gamma = 40.0);No. Iter. (gamma = 40.0);mse final (gamma = 40.0);log_grad (gamma = 40.0);theta (gamma = 40.0);PSNR max (gamma = 40.0);SSIM (k) (gamma = 40.0);No. Iter. (k) (gamma = 40.0);mse final (k) (gamma = 40.0);log_grad (k) (gamma = 40.0);theta (k) (gamma = 40.0);PSNR final (gamma = 45.0);SSIM final (gamma = 45.0);No. Iter. (gamma = 45.0);mse final (gamma = 45.0);log_grad (gamma = 45.0);theta (gamma = 45.0);PSNR max (gamma = 45.0);SSIM (k) (gamma = 45.0);No. Iter. (k) (gamma = 45.0);mse final (k) (gamma = 45.0);log_grad (k) (gamma = 45.0);theta (k) (gamma = 45.0);PSNR final (gamma = 50.0);SSIM final (gamma = 50.0);No. Iter. (gamma = 50.0);mse final (gamma = 50.0);log_grad (gamma = 50.0);theta (gamma = 50.0);PSNR max (gamma = 50.0);SSIM (k) (gamma = 50.0);No. Iter. (k) (gamma = 50.0);mse final (k) (gamma = 50.0);log_grad (k) (gamma = 50.0);theta (k) (gamma = 50.0)
kodim1;25,89001001734655;0,8177973830083561;4161,0;0,0009999761504269;10,253799646780452;0,5763127073432246;25,89001001734655;0,8177973830083561;4161,0;0,0009999761504269;10,253799646780452;0,5763127073432246;26,34151406056844;0,8357366688424408;4866,0;0,0009997280599302;10,097312158350864;0,5652336720255967;26,34151406056844;0,8357366688424408;4866,0;0,0009997280599302;10,097312158350864;0,5652336720255967;26,36935758262932;0,8360417278544713;5410,0;0,0009996132257623;9,973339677918544;0,551413001551466;26,397698092449787;0,837552546024789;4562,0;0,0014301893792133;10,022685827445745;0,5551786912121373;26,177648618488305;0,8265063761701418;5817,0;0,0009999890774931;9,877856124873178;0,5366425053273065;26,39824389788272;0,8373887895705989;3882,0;0,0021788828820146;10,017749557523551;0,5503275352828683;25,911740341769512;0,8132704296538451;6130,0;0,0009998916869436;9,803483772737115;0,5213364083184729;26,39693287841432;0,8372121340811338;3532,0;0,0027439789302488;10,014918512722312;0,547214232814694;25,638824266034025;0,799517581584424;6386,0;0,0009997428759651;9,743787905150777;0,5067070635331739;26,39507192236825;0,8370481166650299;3314,0;0,0031859614586834;10,013239836420372;0,5452393888496547;25,38255430252019;0,7864796816835006;6609,0;0,0009998972134506;9,694273615838153;0,4935206985577493;26,39310972634087;0,8369009053734425;3165,0;0,0035394959793231;10,012022324079144;0,5436724017178992
kodim2;28,43308212752384;0,8048469174556544;4146,0;0,0009997248679674;9,713454269106466;0,6070200670362044;28,43308212752384;0,8048469174556544;4146,0;0,0009997248679674;9,713454269106466;0,6070200670362044;29,728889920071204;0,8582003705877824;4756,0;0,0009999016360235;9,437022145732406;0,600980007120307;29,728889920071204;0,8582003705877824;4756,0;0,0009999016360235;9,437022145732406;0,600980007120307;30,355753838238208;0,881583683016759;5144,0;0,0009999598204927;9,23361788862228;0,59208464904059;30,355753838238208;0,881583683016759;5144,0;0,0009999598204927;9,23361788862228;0,59208464904059;30,53991962119491;0,88838167673704;5359,0;0,000999927252625;9,098898716657526;0,5826837871499339;30,53991962119491;0,88838167673704;5359,0;0,000999927252625;9,098898716657526;0,5826837871499339;30,52692838895656;0,8884661299413183;5474,0;0,0009998423377488;9,009377315694849;0,5744790501081337;30,541840227470377;0,8886969446897862;5036,0;0,0012121076604583;9,047696864452709;0,5769294845456148;30,444849287810417;0,8863497207254079;5539,0;0,0009998774724997;8,946328645147972;0,5687097276818494;30,53106988570883;0,8883847941184344;4590,0;0,0015289277997722;9,038455708498564;0,5742079799583583;30,34512759219673;0,8837244675796069;5581,0;0,000999657694938;8,899025920534543;0,5637129028705417;30,521595827126525;0,8881098103268519;4307,0;0,0017809433728131;9,031789099841363;0,5726613286062684
kodim3;28,33554952591736;0,7969207537435121;4180,0;0,0009997918125086;9,73522670234842;0,6063933184038759;28,33554952591736;0,7969207537435121;4180,0;0,0009997918125086;9,73522670234842;0,6063933184038759;29,892912319508127;0,8641157380239911;4812,0;0,0009995751221456;9,452011995002062;0,5985738945149032;29,892912319508127;0,8641157380239911;4812,0;0,0009995751221456;9,452011995002062;0,5985738945149032;30,798348362126603;0,8984259450540703;5210,0;0,0009995666628219;9,244683852095305;0,5887694640814045;30,798348362126603;0,8984259450540703;5210,0;0,0009995666628219;9,244683852095305;0,5887694640814045;31,18571892545254;0,912273943987212;5418,0;0,0009995734826374;9,11265336537054;0,577325364660107;31,18571892545254;0,912273943987212;5418,0;0,0009995734826374;9,11265336537054;0,577325364660107;31,30052251937732;0,916761879401958;5506,0;0,0009999214890368;9,030656173482171;0,566649656812874;31,30052251937732;0,916761879401958;5506,0;0,0009999214890368;9,030656173482171;0,566649656812874;31,30229871560934;0,9176511851378832;5538,0;0,0009997247365582;8,976414224367263;0,5566071483101817;31,30370925486552;0,9175485582625748;5404,0;0,0010627567512421;8,98530559053664;0,5577987930257496;31,261641447285832;0,9172414039560628;5548,0;0,0009999847023937;8,937581043331466;0,5468890591644925;31,289476543476358;0,9173122705389992;5003,0;0,0012900760098325;8,976769906799596;0,5541577084564441
kodim4;28,02338124700041;0,7990681037616376;4140,0;0,0009998674327411;9,804861464283295;0,6071067626764632;28,02338124700041;0,7990681037616376;4140,0;0,0009998674327411;9,804861464283295;0,6071067626764632;29,369295602203568;0,8545555821157539;4754,0;0,0009995197461414;9,554176411855355;0,600927961133216;29,369295602203568;0,8545555821157539;4754,0;0,0009995197461414;9,554176411855355;0,600927961133216;30,08261244283576;0,8813071126816272;5146,0;0,0009999450847821;9,37299879557889;0,5916380200945921;30,08261244283576;0,8813071126816272;5146,0;0,0009999450847821;9,37299879557889;0,5916380200945921;30,340960794677365;0,8908773962219533;5367,0;0,0009999488164029;9,25487404824414;0,5813232721296441;30,340960794677365;0,8908773962219533;5367,0;0,0009999488164029;9,25487404824414;0,5813232721296441;30,37429809715873;0,8927218114454267;5487,0;0,0009997437933185;9,177894424030974;0,5706782115493905;30,37942978538502;0,8926312599479959;5232,0;0,0011185773717142;9,195259854654612;0,5723752421037949;30,31826782498492;0,891636581156476;5555,0;0,0009999896816297;9,124836582881008;0,5612561250766573;30,381451993331268;0,8926527025646966;4756,0;0,0014303733347644;9,18478375845857;0,5681422884622301;30,23110492309424;0,889557631296665;5604,0;0,0009999670150784;9,085455703859031;0,5521687833075587;30,381108762474994;0,8926128845684854;4456,0;0,0016792561112972;9,177218276872598;0,5652297136900011
kodim5;26,090967492730574;0,8474947907492819;4036,0;0,0009997318012935;10,316728115423311;0,571160447435164;26,090967492730574;0,8474947907492819;4036,0;0,0009997318012935;10,316728115423311;0,571160447435164;26,49884000352532;0,8662641700889946;4669,0;0,0009998396256866;10,195751875419004;0,557778947573029;26,49884000352532;0,8662641700889946;4669,0;0,0009998396256866;10,195751875419004;0,557778947573029;26,5135718193576;0,8696562517319486;5155,0;0,0009999293948625;10,103260255752758;0,5411201001900018;26,55435173764909;0,8696490285223947;4255,0;0,0014864225359983;10,14737149866026;0,5462723542981072;26,32420013451648;0,8643002761635232;5540,0;0,0009996233542366;10,031617044321347;0,5238139798627743;26,56661160040812;0,8700641391341217;3693,0;0,0021580433444154;10,141006815475192;0,5407589315037135;26,057072492224123;0,8550139580827943;5859,0;0,0009999472308358;9,974275244719616;0,5068124922389783;26,572885658409508;0,8702578566299081;3389,0;0,002670116633515;10,137195671634764;0,5370153642171388;25,77215062354337;0,844357028071797;6142,0;0,0009997494760671;9,926514981238093;0,4916211731849015;26,57639842859983;0,8703548691408307;3196,0;0,0030719798365426;10,134660771053657;0,5344077438791003;25,496682263945765;0,8336232295839904;6396,0;0,0009997724135487;9,885765730518717;0,4779066513520476;26,578451581354614;0,8704039047026907;3062,0;0,0033951290597699;10,13283843944054;0,5324480171846336
kodim6;26,573334605034116;0,8149364568939609;4158,0;0,0009999090412298;10,09595003375571;0,5856248860794858;26,573334605034116;0,8149364568939609;4158,0;0,0009999090412298;10,09595003375571;0,5856248860794858;27,17599247209182;0,8459341372558598;4838,0;0,0009997625075164;9,913574038100366;0,5751909488194223;27,17599247209182;0,8459341372558598;4838,0;0,0009997625075164;9,913574038100366;0,5751909488194223;27,296358880377795;0,8542439072598507;5343,0;0,0009996024726279;9,770239299458098;0,5628028516387329;27,29943638455836;0,8539934723897232;5056,0;0,001128455420015;9,788121161645318;0,563943237380717;27,1561890104206;0,849729321771636;5705,0;0,0009999330433197;9,661614454189175;0,5491227268033869;27,29347425313076;0,8535941763611516;4198,0;0,0018486055896116;9,782602136568794;0,5587658145504238;26,922135810266443;0,8400628803987935;5974,0;0,000999984147797;9,578361621563388;0,534856030936823;27,287818510147485;0,853239758111824;3782,0;0,002388872991631;9,779368575958529;0,5552385399558604;26,673054116699035;0,8291972503471183;6188,0;0,0009999510061163;9,512534716849752;0,5198631970373438;27,282803172886968;0,8529351533719756;3530,0;0,0028093790244361;9,777341670408385;0,5528249234388725;26,439216765986828;0,8187816167920161;6367,0;0,000999890941258;9,459001995122785;0,5058833932234;27,278390829697496;0,8526751115087352;3360,0;0,0031450622597899;9,775879623206066;0,5513753484925251
kodim7;27,81522780569896;0,8237700980080435;4087,0;0,000999534585212;9,932479107632098;0,5976855259315123;27,81522780569896;0,8237700980080435;4087,0;0,000999534585212;9,932479107632098;0,5976855259315123;29,153136443572336;0,8806758790817811;4696,0;0,0009996525903764;9,740067537752346;0,5872316496121485;29,153136443572336;0,8806758790817811;4696,0;0,0009996525903764;9,740067537752346;0,5872316496121485;29,909785372339183;0,911340513207373;5102,0;0,0009997327942474;9,60737964198048;0,5736915128017088;29,909785372339183;0,911340513207373;5102,0;0,0009997327942474;9,60737964198048;0,5736915128017088;30,21754210149488;0,9247930907375445;5346,0;0,0009998277450288;9,521194034356734;0,5596566944883535;30,21754210149488;0,9247930907375445;5346,0;0,0009998277450288;9,521194034356734;0,5596566944883535;30,278921468252594;0,9295851739260654;5494,0;0,0009995987774319;9,463107818166089;0,5454847624881929;30,283423821656072;0,92886551302934;5264,0;0,0011020337289584;9,474301762553605;0,5473679574807649;30,22662263458612;0,9305033490341236;5593,0;0,0009999032179668;9,420968309751142;0,5321523507697316;30,29889266414438;0,9290701037512724;4779,0;0,0014142882549932;9,465403842119876;0,5410952760556065;30,124914524538674;0,9297330626444976;5675,0;0,0009999884909962;9,387993262245452;0,5205429274286975;30,30836898590191;0,9291673655264748;4475,0;0,0016633414072124;9,458838026566612;0,5363604336652773
kodim8;25,374364742946007;0,8530292741484119;4088,0;0,0009994804509168;10,525020192960996;0,5528405241417457;25,374364742946007;0,8530292741484119;4088,0;0,0009994804509168;10,525020192960996;0,5528405241417457;25,62911659239348;0,8687817767112609;4773,0;0,0009998900125549;10,42782763493906;0,5398338419265065;25,62911659239348;0,8687817767112609;4773,0;0,0009998900125549;10,42782763493906;0,5398338419265065;25,54853203084853;0,8703808408351946;5309,0;0,0009999352016198;10,352452277325945;0,5250195896129656;25,642917713502385;0,8695675574717406;3882,0;0,0018550256656804;10,41294333247428;0,5331793286274307;25,30736720104771;0,8641790583950429;5730,0;0,0009997997150332;10,29343255547816;0,5089594365321587;25,647453186312887;0,8694353791007469;3409,0;0,0025794899999825;10,410082451578823;0,5297444435986527;25,014034721811687;0,8549186693559498;6078,0;0,0009996995240434;10,245604517286974;0,4929092275389417;25,649382136600344;0,869294084129168;3147,0;0,0031276182455384;10,408358225817208;0,5273518185594105;24,716219109739065;0,8449407796692557;6386,0;0,0009996984291747;10,205286456745524;0,4775768602983015;25,650168748094003;0,8691588838653116;2978,0;0,0035570388348859;10,407280856875834;0,5256005770789328;24,430225825780923;0,8350900345705042;6674,0;0,0009998882369844;10,17011673419329;0,4634830206724882;25,650412060369938;0,8690338636111677;2859,0;0,0039029567728815;10,40660682848696;0,5245341054856923
kodim9;27,961174204447644;0,7991398715216738;4188,0;0,00099957856215;9,909914654040689;0,6009803860665627;27,961174204447644;0,7991398715216738;4188,0;0,00099957856215;9,909914654040689;0,6009803860665627;29,486767955165703;0,8671190463907474;4843,0;0,000999563593751;9,69731589740002;0,593433011790462;29,486767955165703;0,8671190463907474;4843,0;0,000999563593751;9,69731589740002;0,593433011790462;30,392130675447607;0,903551470880331;5277,0;0,0009999205341445;9,55240687415903;0,582728513785362;30,392130675447607;0,903551470880331;5277,0;0,0009999205341445;9,55240687415903;0,582728513785362;30,777542488923004;0,9187960751292767;5518,0;0,0009996392887386;9,463461489692058;0,5710042313350452;30,777542488923004;0,9187960751292767;5518,0;0,0009996392887386;9,463461489692058;0,5710042313350452;30,876249708315022;0,9237408714411384;5629,0;0,000999859189539;9,408300337740265;0,5594131229736464;30,876249708315022;0,9237408714411384;5629,0;0,000999859189539;9,408300337740265;0,5594131229736464;30,85293052386101;0,9245682840609064;5680,0;0,000999625502708;9,370961129635958;0,5484988538790777;30,86926864541736;0,924096024656688;5253,0;0,0012077797772971;9,390610250004332;0,5526906214101682;30,783409681214195;0,9238546807869908;5706,0;0,0009997309437179;9,343489096166753;0,5386251224866299;30,85841875419372;0,9238469208398176;4870,0;0,0014586275176658;9,385489234350262;0,5492318885778525
kodim10;27,95308668388049;0,8002053457926968;4169,0;0,0009999627785474;9,893840996209954;0,6016552612411611;27,95308668388049;0,8002053457926968;4169,0;0,0009999627785474;9,893840996209954;0,6016552612411611;29,424128433147104;0,8638865433822313;4810,0;0,0009998425120339;9,674178357107133;0,5936089353555677;29,424128433147104;0,8638865433822313;4810,0;0,0009998425120339;9,674178357107133;0,5936089353555677;30,27026925026815;0,8973895689440797;5231,0;0,0009995897567693;9,520687050037676;0,5819676674819639;30,27026925026815;0,8973895689440797;5231,0;0,0009995897567693;9,520687050037676;0,5819676674819639;30,61341910131071;0,9112001239738952;5465,0;0,0009995991444108;9,423395400495128;0,5684243738499495;30,61341910131071;0,9112001239738952;5465,0;0,0009995991444108;9,423395400495128;0,5684243738499495;30,688065634595368;0,9156070033242604;5587,0;0,0009998988432555;9,360355763887156;0,555335787578897;30,688065634595368;0,9156070033242604;5587,0;0,0009998988432555;9,360355763887156;0,555335787578897;30,64716842694895;0,9161425885055268;5654,0;0,0009999531374926;9,316203477084478;0,5426895571370495;30,68174832856529;0,9156103944574296;5058,0;0,0012972043788729;9,350513781853158;0,5492073511143942;30,56257303090522;0,9151872897653806;5696,0;0,0009998683592352;9,282895759909588;0,5316041174640692;30,674673036836488;0,9154788667551188;4708,0;0,0015487493366781;9,344972771576288;0,5451660074405229
