k,PSNR,SSIM,mse,Log-Gradient,Angle
0.0,27.385493657096127,0.8718243456540478,0.2894144060075931,8.247450888581664,0.47669846575287883
1.0,27.472460076221516,0.8741566080309601,0.2674382375844731,8.263579310869961,0.47500810284668216
2.0,27.55165597824262,0.876274851272802,0.24758472023904982,8.27850866584236,0.47325443146990676
3.0,27.624033577364333,0.8782065453472131,0.2296597304954275,8.292351077418326,0.47150868697568654
4.0,27.690442928063106,0.8799756358577341,0.21350164158566826,8.30521241077095,0.46982428840676366
5.0,27.751606235311034,0.88160258632124,0.19892087253946977,8.317186890672902,0.46817868919474964
6.0,27.808137515941027,0.8831046457360753,0.1857362814847951,8.328357429492629,0.4665780459663627
7.0,27.8605657568434,0.8844964757462482,0.1737897040032847,8.33879715987973,0.46494864877437386
8.0,27.90934939517929,0.8857906011270492,0.16294507916755466,8.348571366948136,0.46353787150365106
9.0,27.954885944964936,0.8869977713794973,0.1530844097722001,8.357738690078518,0.46221159289112657
10.0,27.997520295477752,0.8881272188644811,0.14410378525848852,8.366351970061393,0.46087092253398415
11.0,28.037552684451697,0.8891868934139545,0.1359111083656806,8.374458904607756,0.45954452552669406
12.0,28.075244324961893,0.8901836435313152,0.12842485411173224,8.382102635002681,0.45824597493476404
13.0,28.110823728452928,0.8911234293353599,0.12157261538733646,8.389322263440732,0.4569406187156942
14.0,28.14449032242997,0.8920114148097612,0.11529021477377853,8.396153107426073,0.45575188648553416
15.0,28.176419238198804,0.89285212625468,0.10952050602788073,8.402626969040943,0.4545543520895943
16.0,28.20676499991871,0.8936495564250153,0.1042125181456312,8.408772523875367,0.45336903799576117
17.0,28.235664243182033,0.8944072491410354,0.09932112039519399,8.414615524312888,0.45222822853616673
18.0,28.263238116981174,0.8951283616258215,0.09480601577697172,8.420179121194074,0.45110709177255565
19.0,28.289594207929497,0.8958157085827322,0.0906312362219077,8.425484226625848,0.44999425708697777
20.0,28.31482845874976,0.896471817333316,0.08676456419257014,8.430549714894815,0.44897335912566133
21.0,28.33902704232476,0.8970989769652048,0.08317732172925786,8.435392659018154,0.4480078058909956
22.0,28.36226708849997,0.8976992544314144,0.07984388147062514,8.440028564686024,0.4470419063491963
23.0,28.384617133675164,0.8982744974869125,0.07674132896393443,8.444471498228483,0.4460606506515397
24.0,28.406139421241342,0.8988263959776259,0.07384903008511272,8.448734291014322,0.44514725377600817
25.0,28.4268902293841,0.8993564914328283,0.071148478931055,8.452828648081995,0.4442364117061947
26.0,28.446920515203885,0.8998661897043635,0.06862304835227495,8.456765295940336,0.44328882328909197
27.0,28.466276569440637,0.9003567774756803,0.06625783965329253,8.46055405964836,0.44232382783593854
28.0,28.485000459461816,0.900829425512698,0.06403937170328895,8.464203978046754,0.4413608377986979
29.0,28.503130743781426,0.9012852181412107,0.06195551082121867,8.46772337877636,0.4403734534873473
30.0,28.5207023127416,0.9017251446976262,0.05999532298550494,8.471119934801134,0.43942220918241043
31.0,28.537747154106206,0.9021501140353511,0.05814890969200292,8.474400735342034,0.43849964819169335
32.0,28.55429468554422,0.9025609650659999,0.05640729619323142,8.47757234540056,0.43761438936733343
